Access. No. or location,Species,Record number,Unique identified,Host,Host code number,Height,No. branches,Branches branched,Nodes to flower inc coty,No. teeth lower floral leaf,Flower colour,Corolla length,Corolla width,Standard corolla l,Glandular hairs,Cauline leaf teeth,Cauline leaf length,Cauline internode length,Inferred flower date,Flower date cal,Julian days to flower,Height_end_season,Peat_no_peat,Early season growth,Nodes to flower,First flower date,Number of branches
North Berwick,Euphrasia arctica,3,221,Plantago lanceolata,4,21,0,0,7,3,0,8.5,6,6.5,0,2,5,2.5,27-Jun,42548,178,63,0,10,7,178,0
North Berwick,Euphrasia arctica,4,210,Trifolium repens,1,43,4,1,7,5,0,10,7.5,7.5,0,3,11,4,24-Jun,42545,175,149,0,28,7,175,4
North Berwick,Euphrasia arctica,5,204,Arabidopsis thaliana,3,40,6,0,8,4,0,10,6,7.5,0,4,9,4,23-Jun,42544,174,62,0,32,8,174,6
North Berwick,Euphrasia arctica,6,200,Trifolium repens,1,36,5,1,10,4,0,9,6,7,0,4,10,4,26-Jun,42547,177,80,0,24,10,177,5
North Berwick,Euphrasia arctica,7,199,Holcus lanatus,5,30,4,0,8,4,0,9,6.5,7,0,3,8,3,26-Jun,42547,177,90,0,18,8,177,4
North Berwick,Euphrasia arctica,8,155,Holcus lanatus,5,24,3,0,7,4,0,9,6.5,7,0,3,7,3,26-Jun,42547,177,69,0,13,7,177,3
North Berwick,Euphrasia arctica,9,150,Arabidopsis thaliana,3,16,3,0,6,3,0,8.5,5,7,0,3,6.5,3,28-Jun,42549,179,45,0,11,6,179,3
North Berwick,Euphrasia arctica,10,114,Arabidopsis thaliana,3,26,4,0,8,4,0,9.5,6.5,7,0,3,12,4,29-Jun,42550,180,56,0,15,8,180,4
North Berwick,Euphrasia arctica,11,248,Plantago lanceolata,4,21,2,0,7,4,0,8.5,5,6.5,0,3,6,2.5,29-Jun,42550,180,77,0,11,7,180,2
North Berwick,Euphrasia arctica,12,236,Pinus sylvestris,8,22,0,0,9,3,0,7,4.5,5.5,0,3,5,2,28-Jun,42549,179,41,0,11,9,179,0
North Berwick,Euphrasia arctica,13,235,Arabidopsis thaliana,3,19,3,0,7,4,0,9.5,6,7,0,4,6,2,27-Jun,42548,178,30,0,8,7,178,3
North Berwick,Euphrasia arctica,16,216,Festuca,2,14,1,0,7,2,0,9,6,7,0,2,4.5,1,03-Jul,42554,184,43,0,8,7,184,1
North Berwick,Euphrasia arctica,17,159,Arabidopsis thaliana,3,27,4,0,10,4,0,8,5.5,6,0,4,6.5,5,03-Jul,42554,184,41,0,12.5,10,184,4
North Berwick,Euphrasia arctica,19,257,Plantago lanceolata,4,18,3,0,7,3,0,9,5.5,7,0,4,7.5,2.5,02-Jul,42553,183,7,0,14,7,183,3
North Berwick,Euphrasia arctica,20,268,Trifolium repens,1,27,2,0,8,3,0,8,5,6,0,3,5,3,01-Jul,42552,182,,0,8,8,182,2
North Berwick,Euphrasia arctica,21,253,Arabidopsis thaliana,3,24,3,0,8,4,0,8,5.5,6,0,3,6.5,3,01-Jul,42552,182,26,0,12,8,182,3
North Berwick,Euphrasia arctica,22,15,Trifolium repens,1,39,4,0,7,4,0,9.5,7,7,0,3,7,4.5,27-Jun,42548,178,152,0,19,7,178,4
North Berwick,Euphrasia arctica,23,256,Equisetum,6,21,2,0,8,3,0,9,7,7,0,3,4.5,2.5,27-Jun,42548,178,105,0,11,8,178,2
North Berwick,Euphrasia arctica,24,1,Equisetum,6,10,0,0,7,3,0,8,5,6,0,3,4,1.5,28-Jun,42549,179,62,0,,7,179,0
North Berwick,Euphrasia arctica,25,239,Plantago lanceolata,4,26,2,0,8,3,0,8.5,3,6.5,0,3,6.5,3,05-Jul,42556,186,72,0,8,8,186,2
North Berwick,Euphrasia arctica,26,245,Arabidopsis thaliana,3,28,3,0,8,4,0,8.5,4,6.5,0,4,7,5,06-Jul,42557,187,45,0,9,8,187,3
North Berwick,Euphrasia arctica,29,262,Arabidopsis thaliana,3,32,7,0,9,4,0,8.5,3,6.5,0,3,8.5,5,07-Jul,42558,188,55,0,17,9,188,7
North Berwick,Euphrasia arctica,32,223,Trifolium repens,1,28,6,0,9,3,0,8,3,6,0,3,9,4.5,07-Jul,42558,188,133,0,12,9,188,6
North Berwick,Euphrasia arctica,36,217,Arabidopsis thaliana,3,27,5,0,8,4,0,10,3,7.5,0,3,8,4,06-Jul,42557,187,48,0,15,8,187,5
North Berwick,Euphrasia arctica,37,252,Festuca,2,26,3,0,10,4,0,9,6,7,0,3,7,2,12-Jul,42563,193,65,0,8,10,193,3
North Berwick,Euphrasia arctica,38,261,Festuca,2,18,2,0,9,4,0,8,5.5,6,0,3,6,2,12-Jul,42563,193,88,0,9,9,193,2
North Berwick,Euphrasia arctica,41,17,Festuca,2,11,0,0,9,3,0,9.5,5.5,7,0,3,4,1.5,11-Jul,42562,192,17,0,,9,192,0
North Berwick,Euphrasia arctica,42,118,Arabidopsis thaliana,3,29,2,0,7,3,0,9,6,7,0,2,5,1.5,11-Jul,42562,192,26,0,10,7,192,2
North Berwick,Euphrasia arctica,43,117,Festuca,2,21,1,0,9,3,0,8,5.5,6,0,3,5,2,10-Jul,42561,191,53,0,10,9,191,1
North Berwick,Euphrasia arctica,45,111,Trifolium repens,1,20,2,0,7,3,0,8,5.5,6,0,3,6,2,11-Jul,42562,192,173,0,9,7,192,2
North Berwick,Euphrasia arctica,46,110,Holcus lanatus,5,22,4,0,9,3,0,9.5,6,7,0,3,6.5,3,11-Jul,42562,192,90,0,11,9,192,4
North Berwick,Euphrasia arctica,47,243,Equisetum,6,18,1,0,9,3,0,8,5,6,0,3,5,1.5,10-Jul,42561,191,82,0,8,9,191,1
North Berwick,Euphrasia arctica,49,209,Festuca,2,25,0,0,7,3,0,8,4.5,6,0,2,4,1.5,08-Jul,42559,189,41,0,8,7,189,0
North Berwick,Euphrasia arctica,50,202,Equisetum,6,16,0,0,9,2,0,8.5,4.5,6.5,0,2,5,1.5,12-Jul,42563,193,41,0,8,9,193,0
North Berwick,Euphrasia arctica,51,113,Festuca,2,17,0,0,9,3,0,8,5,6,0,2,5,2,08-Jul,42559,189,50,0,8.5,9,189,0
North Berwick,Euphrasia arctica,52,74,Trifolium repens,1,64,6,1,8,5,0,11,7.5,8.5,0,3,13,8,08-Jul,42559,189,183,0,15,8,189,6
North Berwick,Euphrasia arctica,53,238,Equisetum,6,13,0,0,8,3,0,7,5,5.5,0,2,3,1,11-Jul,42562,192,17,0,7,8,192,0
North Berwick,Euphrasia arctica,54,247,liverwort,7,9,0,0,8,2,0,6,4.5,4.5,0,2,3.5,1,12-Jul,42563,193,12,0,6,8,193,0
North Berwick,Euphrasia arctica,55,114,Arabidopsis thaliana,3,33,4,0,8,4,0,9.5,7,7,0,3,7,5,08-Jul,42559,189,56,0,15,8,189,4
North Berwick,Euphrasia arctica,57,156,Trifolium repens,1,38,4,1,9,4,0,11.5,8,9,0,3,8,4.5,08-Jul,42559,189,141,0,9,9,189,4
North Berwick,Euphrasia arctica,58,154,Plantago lanceolata,4,13,0,0,8,3,0,8.5,5.5,6.5,0,3,4.5,1.5,11-Jul,42562,192,32,0,7,8,192,0
North Berwick,Euphrasia arctica,59,145,Plantago lanceolata,4,16,1,0,10,3,0,9,4.5,7,0,3,4,2,12-Jul,42563,193,55,0,7.5,10,193,1
North Berwick,Euphrasia arctica,60,158,Festuca,2,24,1,0,9,4,0,9,6,7,0,4,6,2.5,10-Jul,42561,191,54,0,8,9,191,1
North Berwick,Euphrasia arctica,62,251,no host,9,12,0,0,8,3,0,6.5,4.5,5,0,2,3,1.5,11-Jul,42562,192,18,0,6,8,192,0
North Berwick,Euphrasia arctica,63,12,Arabidopsis thaliana,3,15,3,0,8,3,0,7,3.5,5.5,0,4,5,2,12-Jul,42563,193,37,0,,8,193,3
North Berwick,Euphrasia arctica,65,230,Plantago lanceolata,4,14,0,0,9,3,0,7.5,5,5.5,0,3,4,1.5,13-Jul,42564,194,15,0,8,9,194,0
North Berwick,Euphrasia arctica,69,213,Arabidopsis thaliana,3,22,3,0,10,3,0,8.5,6,7,0,3,5,2.5,17-Jul,42568,198,35,0,9,10,198,3
North Berwick,Euphrasia arctica,70,147,Trifolium repens,1,10,0,0,8,2,0,7.5,5,7,0,2,4.5,1,15-Jul,42566,196,16,0,5,8,196,0
North Berwick,Euphrasia arctica,71,20,Trifolium repens,1,37,6,0,9,4,0,9,6,8,0,3,9,4.5,17-Jul,42568,198,168,0,,9,198,6
North Berwick,Euphrasia arctica,72,3,Arabidopsis thaliana,3,27,4,0,10,3,0,9,6,7,0,3,6,3.5,17-Jul,42568,198,41,0,,10,198,4
North Berwick,Euphrasia arctica,74,234,Festuca,2,27,6,0,12,4,0,8.5,6,7,0,3,7,3,17-Jul,42568,198,56,0,7,12,198,6
North Berwick,Euphrasia arctica,75,122,Plantago lanceolata,4,16,1,0,10,3,0,8.5,5.5,6,0,2,5,1.5,17-Jul,42568,198,32,0,9,10,198,1
North Berwick,Euphrasia arctica,78,4,Festuca,2,22,2,0,10,3,0,9.5,6,7.5,0,3,5,2.5,15-Jul,42566,196,92,0,,10,196,2
North Berwick,Euphrasia arctica,79,7,Holcus lanatus,5,14,0,0,11,3,0,7,5.5,6,0,3,4,1.5,16-Jul,42567,197,43,0,,11,197,0
North Berwick,Euphrasia arctica,81,208,Plantago lanceolata,4,10,0,0,9,3,0,8,5.5,6,0,2,3,1.5,20-Jul,42571,201,29,0,6,9,201,0
North Berwick,Euphrasia arctica,82,203,Festuca,2,21,0,0,9,3,0,6,4.5,5.5,0,3,4,3,20-Jul,42571,201,32,0,10,9,201,0
North Berwick,Euphrasia arctica,84,109,Plantago lanceolata,4,17,1,0,10,4,0,8,5,6,0,3,4.5,2,20-Jul,42571,201,30,0,7,10,201,1
North Berwick,Euphrasia arctica,85,244,Festuca,2,33,4,0,10,5,0,8.5,6,7,0,4,13,4,20-Jul,42571,201,86,0,7,10,201,4
North Berwick,Euphrasia arctica,87,266,Plantago lanceolata,4,11,0,0,9,3,0,8,5,6,0,3,5,1,23-Jul,42574,204,19,0,5,9,204,0
North Berwick,Euphrasia arctica,89,238,Equisetum,6,12,0,0,7,2,0,5.5,,5,0,3,3,1.5,24-Jul,42575,205,17,0,7,7,205,0
North Berwick,Euphrasia arctica,91,36,Festuca,2,24,2,0,8,3,0,8,,7,0,2,5,2,24-Jul,42575,205,45,0,,8,205,2
North Berwick,Euphrasia arctica,97,8,Plantago lanceolata,4,14,0,0,10,3,0,8.5,,7,0,3,4.5,1.5,26-Jul,42577,207,41,0,,10,207,0
North Berwick,Euphrasia arctica,98,227,Pinus sylvestris,8,14,0,0,11,2,0,,,5,0,2,3,1,08-Aug,42590,220,,0,7,11,220,0
North Berwick,Euphrasia arctica,99,267,Holcus lanatus,5,13,0,0,8,2,0,,,7,0,2,4,1,03-Aug,42585,215,35,0,4,8,215,0
North Berwick,Euphrasia arctica,100,18,Equisetum,6,14,0,0,9,3,0,,,6.5,0,3,4,1.5,07-Aug,42589,219,51,0,,9,219,0
North Berwick,Euphrasia arctica,101,121,Equisetum,6,14,1,0,9,3,0,,,6,0,3,3,1,08-Aug,42590,220,29,0,4.5,9,220,1
North Berwick,Euphrasia arctica,102,144,Equisetum,6,17,0,0,9,3,0,,,6,0,2,4,1.5,05-Aug,42587,217,43,0,4,9,217,0
North Berwick,Euphrasia arctica,103,151,Pinus sylvestris,8,12,0,0,11,2,0,,,6,0,2,3,1,04-Aug,42586,216,12,0,5.5,11,216,0
North Berwick,Euphrasia arctica,108,284,Plantago lanceolata,4,14,0,0,9,3,0,,,7,0,3,4,2,10-Aug,42592,222,50,0,3.5,9,222,0
North Berwick,Euphrasia arctica,110,108,Equisetum,6,13,1,0,11,3,0,,,6,0,3,3.5,1,11-Aug,42593,223,29,0,4,11,223,1
North Berwick,Euphrasia arctica,116,233,no host,9,13,0,0,10,3,0,,,6,0,3,3.5,1,11-Aug,42593,223,16,0,7,10,223,0
North Berwick,Euphrasia arctica,117,63,Festuca,2,10,0,0,8,1,0,,,5.5,0,3,2,0.5,12-Aug,42594,224,5,0,,8,224,0
North Berwick,Euphrasia arctica,118,62,Arabidopsis thaliana,3,13,0,0,11,3,0,,,6.5,0,2,3,1,14-Aug,42596,226,18,0,,11,226,0
North Berwick,Euphrasia arctica,119,285,Holcus lanatus,5,16,1,0,9,3,0,,,6,0,2,3,2,15-Aug,42597,227,45,0,3,9,227,1
North Berwick,Euphrasia arctica,122,x1,Equisetum,6,12,0,0,12,2,0,,,5,0,2,4,1,18-Aug,42600,230,28,0,,12,230,0
North Berwick,Euphrasia arctica,126,58,Plantago lanceolata,4,13,0,0,9,3,0,,,6,0,2,4,1.5,18-Aug,42600,230,,0,,9,230,0
North Berwick,Euphrasia arctica,127,119,Pinus sylvestris,8,11,0,0,11,2,0,,,7,0,2,3,1,16-Aug,42598,228,13,0,5.5,11,228,0
North Berwick,Euphrasia arctica,130,222,Holcus lanatus,5,13,0,0,11,3,0,,,5.5,0,3,3,1,16-Aug,42598,228,12,0,7,11,228,0
North Berwick,Euphrasia arctica,132,246,Pinus sylvestris,8,21,0,0,11,2,0,,,6.5,0,2,3,1,20-Aug,42602,232,16,0,6,11,232,0
North Berwick,Euphrasia arctica,134,13,Festuca,2,11,0,0,10,3,0,,,6.5,0,3,4,1.5,21-Aug,42603,233,24,0,,10,233,0
North Berwick,Euphrasia arctica,138,207,Equisetum,6,15,0,0,10,2,0,,,7,0,2,2,1,22-Aug,42604,234,23,0,5,10,234,0
North Berwick,Euphrasia arctica,139,265,Equisetum,6,13,1,0,11,2,0,,,7.5,0,2,3,1.5,20-Aug,42602,232,21,0,6,11,232,1
North Berwick,Euphrasia arctica,141,5,no host,9,15,0,0,13,2,0,7,,6,0,2,3,1,24-Aug,42606,236,12,0,,13,236,0
North Berwick,Euphrasia arctica,149,112,no host,9,10,0,0,11,2,0,,,6,0,2,2,1,31-Aug,42613,243,10,0,4.5,11,243,0
North Berwick,Euphrasia arctica,153,225,Festuca,2,12,0,0,10,2,0,,,6,0,2,2.5,1,31-Aug,42613,243,15,0,4,10,243,0
North Berwick,Euphrasia arctica,160,237,liverwort,7,8,0,0,11,2,0,,,6,0,2,2,0.5,28-Aug,42610,240,11,0,4,11,240,0
North Berwick,Euphrasia arctica,163,259,no host,9,11,0,0,10,2,0,,,5.5,0,3,3,0.5,26-Aug,42608,238,0,0,6,10,238,0
North Berwick,Euphrasia arctica,165,57,Holcus lanatus,5,13,0,0,9,2,0,,,,0,2,2.5,0.5,07-Sep,42620,250,12,0,,9,250,0
North Berwick,Euphrasia arctica,166,218,Pinus sylvestris,8,17,0,0,9,3,0,,,4.5,0,3,3.5,1,08-Sep,42621,251,14,0,9,9,251,0
North Berwick,Euphrasia arctica,169,152,liverwort,7,11,0,0,12,2,0,,,,0,2,2.5,0.5,10-Sep,42623,253,12,0,7,12,253,0
North Berwick,Euphrasia arctica,171,240,Holcus lanatus,5,10,0,0,12,1,0,,,6,0,1,1.5,0.5,15-Sep,42628,258,6,0,4,12,258,0
North Berwick,Euphrasia arctica,172,160,Pinus sylvestris,8,6,0,0,11,1,0,,,4.5,0,1,1,0.5,16-Sep,42629,259,7,0,4.5,11,259,0
North Berwick,Euphrasia arctica,174,255,liverwort,7,4,0,0,9,2,0,,,,0,2,2,1.5,05-Sep,42618,248,1,0,5,9,248,0
North Berwick,Euphrasia arctica,176,258,Holcus lanatus,5,7,0,0,11,2,0,,,,0,2,2.5,0.5,05-Sep,42618,248,4,0,5,11,248,0
